RowID ^ StrongsSequence ^ Count
809 ^ G1520-G2532-G848 ^ 1
810 ^ G1521 ^ 10
811 ^ G1522 ^ 5
812 ^ G1523 ^ 1
813 ^ G1524 ^ 4
814 ^ G1525 ^ 195
815 ^ G1525-G3756 ^ 3
816 ^ G1526 ^ 160
817 ^ G1526-G3427 ^ 1
818 ^ G1527 ^ 2
819 ^ G1528-G846 ^ 1
820 ^ G1529 ^ 3
821 ^ G1529-G4383 ^ 1
822 ^ G153 ^ 5
823 ^ G1530 ^ 2
824 ^ G1531 ^ 17
825 ^ G1532 ^ 1
826 ^ G1533 ^ 5
827 ^ G1533-G846 ^ 2
828 ^ G1534 ^ 16
829 ^ G1535 ^ 63
830 ^ G1535-G1223 ^ 1
831 ^ G1536 ^ 51
832 ^ G1536-G1410 ^ 1
833 ^ G1536-G1473-G5483-G2532 ^ 1
834 ^ G1536-G2064 ^ 1
835 ^ G1536-G2076 ^ 1
836 ^ G1536-G2147 ^ 1
837 ^ G1536-G2192 ^ 1
838 ^ G1536-G2744 ^ 1
839 ^ G1536-G3767 ^ 1
840 ^ G1536-G907 ^ 1
841 ^ G1536-G991 ^ 1
842 ^ G1537 ^ 884
843 ^ G1537-G1093 ^ 1
844 ^ G1537-G1208 ^ 2
845 ^ G1537-G165 ^ 1
